name,type,address,latitude,longitude,phone,yakap_accredited,services,operating_hours,barangay,photos,specialized_services,is_24_7,capacity,live_metrics,busy_patterns, signals
"Concepcion Pequeña Barangay Health Station","Health Center","to be filled","to be filled","to be filled","DOH-HRH Neliza G. Diaz, RN: 09451628425;DOH-HRH Armida B. Sayson, RN: 09274100433;DOH-HRH Prince Mark S. Apongol, RN: 09198260699;DOH-HRH Lalaine C. Brito, RN: 09297861371;DOH-HRH Eva C. Albao, RM: 09286912543;BSPO Nenita B. Omisal: 09167374870;BSPO Morie Buitzon: 09709806594;BSPO Julianne T. Rivera: 09703159524","to be verified","Family Planning;DMPA Injection;Pills/Condom;Progestin Subdermal Implant Insertion and Removal;IUD/Tubal Ligation;Non-Communicable Disease Program Health Services;Adolescent Health;NTP;Immunization;Maternal Health Care Services","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Concepcion Pequeña","link here","Dental Tooth Extraction;Search and Destroy Activities;Dog and Cat Vaccination;Pneumonia and Flu Vaccination;Garantisadong Pambata;Deworming Services;Nutrition Services;Environmental Health;Leprosy Prevention and Control","false","to be added",,,
"Dayangdang Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW France Dorie B. Valencia: 09260282335;KGD. ON HEALTH Raymond P. Medina: 09925480920","to be verified","Daily Consultation;Non-Communicable Disease Program Health Services;Family Planning;NTP;Prenatal;Immunization","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Dayangdang","link here","PSI Insertion and Removal;4P's Monitoring","false","to be added",,,
"Del Rosario Barangay Health Station","Health Center","to be filled","to be filled","to be filled","Capt. Jose Peña III: 09171838392;881-86-43","to be verified","Daily Consultation;NTP Enrollment;YAKAP Profiling;PF Counseling;Philpen Risk Assessment;HPN/DM Dispensing of Medicine;Prenatal Check Up;Immunization;Dispensing of Medicine;Weighing;Family Planning","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Del Rosario","link here","Adolescent Counseling;Dental Extraction;Growth Monitoring and Weighing of Children;Home Visits","false","to be added",,,
"Dinaga Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Nora P. Dizon: 09516098464;BNS Melanie Alarcon: 09071223362;BSPO Eden Nazaria: 09914571861","to be verified","Daily Consultation;Dispensing of Medicine;Prenatal;Immunization;Prenatal Check Up;Post-partum;House-to-House Deworming;House-to-House Visits for Case Findings;NTP","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Dinaga","link here","Dental Check Up;Blood Donation","false","to be added",,,
"Igualdad Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Marilyn Nasayao: 09108379979","to be verified","Daily Consultation;Dispensing of NTP Medicine;Prenatal;Immunization;Post-Partum Visit;Family Planning","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Igualdad","link here","Dental Check Up;Mobile Blood Donation;Operation Tuli","false","to be added",,,
"Lerma Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Nora P. Dizaon: 09516098464;BHW Pres Raquel Roque: 09922815369;BNS Jeena C. Gonzaga: 09106341803;BSPO Imelda M. Dawang: 09481016674","to be verified","Daily Consultation;NTP;Immunization;Prenatal;VIA Screening;Dispensing of Medicine","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Lerma","link here","Dental Check Up;Blood Donation","false","to be added",,,
"Liboton Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Karen B. Pamor: 09661794096; BHW(Z-1): Rosario A. Rodriguez: 09511840918;BHW(Z-2) Magnolia Lourdes P. Recto: 09110221169;BHW(Z-3) Madonna A. France: 09081847751;BHW(Z-4) Geraldine F. Villegas: 09301962275","to be verified","Regular Consulation;BP Monitoring;Risk Assessment;Prenatal;Immunization;NTP","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Liboton","link here","Adolescent Health Services;Women's Day;Medical Check Up;Dental Check Up;Operation Tuli","false","to be added",,,
"Mabolo Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Eva F. Alcozar, RM: 09286006000;BHW Pres Criselda S. Monte: 09982170887;BNS Donabel Rodriguez: 09071950032;BSPO Gracel C. Diaz: 09509800841","to be verified","Daily Consultation;Family Planning;NTP;YAKAP Profiling;Risk Asessment of Non Communicable Diseases;Adolescent Consultation;Immunization;Prenatal;4P's Consultation;VIA","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Mabolo","link here","Dental Check Up;Blood Bank;Operation Tuli","false","to be added",,,
"Pacol Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Marilyn Osabal: 09076562472;NDP Lemuel T. Luis, RN: 09070232272;NDP Kristita P. Gonzales, RM: 09178153675;BNS Yolanda G. Salvador: 09614103394;BSPO Jane C. Andes: 09304124962","to be verified","Daily Consultation;Family Planning;Nutrition;Immunization;NTP;Prenatal;Counseling; Home Visitation","Mon-Fri: 8:00 AM - 5:00 PM","Barnagay Pacol","link here","Adolescent Health;HIV Testing;VIA","false","to be added",,,
"Panicuason Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Maria Isabel R. Agsangre: 09853604982","to be verified","Daily Consultation;Family Planning;Prenatal;Immunization;NTP;Home Visitation;4P's","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Panicuason","link here","Adolescent Counseling;4P's","false","to be added",,,
"Peñafrancia Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Jennifer V. Bien: 09466982991;K/H Maribel T. Conchina: 09484620384;BHW Pres Analisa P. Alde: 09518735258;BNS Goria E. Muñoz: 09105638006","to be verified","Daily Consultation;Family Planning;NTP Enrollment;YAKAP Profiling;Risk Assessment of Non Communicable Diseases;Prenatal;Immunization;BP and Weight Monitoring;Post-Partum;Home Visitation","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Peñafrancia","link here","Dental Check Up;Operation Tuli;Blood Donation","false","to be added",,,
"Sabang Barangay Health Station","Health Center","to be filled","to be filled","to be filled","KGD. ON HEALTH Eva V. Relato: 09506606899;BHS MW Louie Bombales: 09319908974;BHW Maria Cecilia M. Bidol: 09206322876;BGY. NUTRITION SCHOLAR Julieta G. San Jose: 09481204960;BGY. SERVICE POINT OFFICER Felvia J. Sibulo: 09630213480","to be verified","Daily Consultation;TB;HIV Testing and Counseling;Immunization;Prenatal;Adolescent Consultation;Family Planning;PSI Insertion and Removal;DMPA;IUD;Pills Distribution;Non Communicable Diseases;HPV Vaccination","Mon-Fri: 8:00 AM - 5:00 PM;Sat-Sun: 9:00 AM - 3:00 PM","Barangay Sabang","link here","WATSAN;Visitation of BHW;Case Findings;Operation Timbang","false","to be added",,,
"San Felipe Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Elisa R. Belen: 09473113293;BHS MW Gia A. Nasol: 09074211846;DOH HRH Julie Ann S. Notado, RN: 09235933081;DOH HRH Mae-Ann V. Bañadera, RN: 09064849538","to be verified","Family Planning;Risk Assessment;Adolescent Consultation;Immunization;Prenatal","Mon-Fri: 8:00 AM - 5:00 PM","Barangay San Felipe","link here","HIV;Syphilis;Hepa-B Screening;Visual Inspection using Acetic Acid;Dental Check Up;Tooth Extraction;Medical Check Up;Blood Donation","false","to be added",,,
"San Francisco Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Marjile M. Mirabel: 09774110272;BNS Rhea Policarpio: 09662388001","to be verified","Daily Consultation;Family Planning;NTP;YAKAP Profiling;Risk Assessment of Non Communicable Diseases;Adolescent Consultation;BP and Weight Monitoring;Immunization;Prenatal;4P's Consultation;VIA for WRA","Mon-Fri: 8:00 AM - 5:00 PM","Barangay San Francisco","link here","Dental Check Up;Blood Donation;Operation Tuli","false","to be added",,,
"San Isidro Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Remedios C. Malanyaon: 09109833870;BNS Lanie R. Nacario: 09319995256;BSPO Myra D. Puyot: 09123358610","to be verified","Daily Consultation;Family Planning;Nutrition;Prenatal;Immunization;NTP","Mon-Fri: 8:00 AM - 5:00 PM","Barangay San Isidro","link here","Adolescent Health;Mental Health Consultation;VIA;Breast Cancer Screening;Medical Check Up;Dental Check Up","false","to be added",,,
"Sta Cruz Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Shiela Marie B. Responde: 09093372370;BSPO Ruth Roxas Dialogo: 09157762823;BNS Ma. Elena J. Flores: 09128373455;KGD. ON HEALTH Ma. Carla A. Gomez: 09177214206","to be verified","Daily Consultation;Family Planning;NTP;YAKAP Profiling;Risk Assessment of Non Communicable Diseases;Adolescent Consultation;4P's Beneficiary Weight Monitoring;Progestin Sub Dermal Implant Insertion;Micronutrients Supplementation;Prenatal;Immunization","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Sta. Cruz","link here","Progestin Sub Dermal Implant Insertion and Removal;Operation Tuli;Basic Oral Health Care;School-based Immunization and Deworming;Community-based Deworming","false","to be added",,,
"Tabuco Barangay Health Station","Health Center","to be filled","to be filled","to be filled","P/B Elisa B. Carmona: 09301907714;K/H Susana D. Pabia: 09177075379","to be verified","Daily Consultation;NTP;BP and Weight Monitoring;Immunization Day;Prenatal","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Tabuco","link here","Dental Check Up;Mobile Blood Donation;Operation Tuli","false","to be added",,,
"Tinago Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Sarah Mae B. Osorio: 09195814731;BHW Pres Julie R. Enriquez: 09129136107;KGD. ON HEALTH Ronnie A. Sayson: 09511743319;BSPO Felicia D. Rita: 09456925022","to be verified","Daily Consultation;Family Planning;NTP;YAKAP Profiling;Risk Assessment of Non Communicable Diseases;Adolescent Consultation;BP and Weight Monitoring;Prenatal;Breast Examination;Immunization;Post-partum;Home Visitation;4P's Consultation;VIA for WRA","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Tinago","link here","Dental Check Up;PSI Insertion","false","to be added",,,
"Triangulo Barangay Health Station","Health Center","to be filled","to be filled","to be filled","Maricris Muron: 09636398942","to be verified","Non Communicable Disease Examination;Communicable Disease HIV Testing;Immunization;Nutrition Services;Maternal Care;Family Planning Counseling;Adolescent Health Program","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Triangulo","link here","Oral Health Services","false","to be added",,,
